Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Panadol,GSK Pakistan,500mg,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,150
Augmentin,GSK,625mg,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",450
Arinac Forte,Abbott,400mg,Syrup,Syrups/Suspensions,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",220
Betnovate-N,GSK,15g,Cream,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",110
Smecta 250mg/5ml SR-105,PharmEvo,250mg/5ml,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,968
Instaflex 5ml SR-106,Abbott,5ml,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",873
Canesten 500mg SR-107,Novartis,500mg,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1079
Mobic Gel 20s SR-108,Martin Dow,20s,Ointment,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,105
Risek 10s SR-109,Bosch,10s,Capsule,Tablets/Capsules,"Treats gastric acidity, heartburn, gastroesophageal reflux disease (GERD), and peptic ulcers.","Headache, mild abdominal pain, or flatulence.",1094
Canesten 30g SR-110,Pfizer,30g,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,858
Tusdec 40mg SR-111,Pfizer,40mg,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",514
